Sample ID,group,run_date,Intensity,Corrected Intensity,Sample DF,Extract V (ml),Filtration V (mL),Extract DF,Extract [Fe] (?g/L), Sample [Fe] (?g/L),cal_curve_r2,lod_ugL_sample,loq_ugL_sample
20240918_L227_INTFE_R1_65,red,2024-11-01,364.26,364.24,1,20,65,0.307692308,105.7507237,32.5386842,0.994787969,36.08030534,120.2676845
20240918_L227_INTFE_R2_60,red,2024-11-07,391.33,391.31,1,20,60,0.333333333,111.3189151,37.10630503,0.994787969,36.08030534,120.2676845
20240918_L227_INTFE_R3_80,red,2024-11-07,667.52,667.5,1,20,80,0.25,168.1301008,42.03252519,0.994787969,36.08030534,120.2676845
20240918_L227_PARTFE_R1_65,red,2024-11-07,720.8,720.78,1,20,65,0.307692308,179.0895851,55.10448772,0.994787969,36.08030534,120.2676845
20240918_L227_PARTFE_R2_71,red,2024-11-07,943.32,943.3,1,20,71,0.281690141,224.861065,63.34114506,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R1_100,red,2024-11-07,484.79,484.77,1,20,100,0.2,130.5432658,26.10865315,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R2_80,red,2024-11-07,452.24,452.22,1,20,80,0.25,123.8478601,30.96196502,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R3_75,red,2024-11-07,484.7,484.68,1,20,75,0.266666667,130.5247531,34.80660083,0.994787969,36.08030534,120.2676845
20240924_L114_PARTFE_R1_100,red,2024-11-07,872.08,872.06,1,20,100,0.2,210.20728,42.041456,0.994787969,36.08030534,120.2676845
20240924_L114_PARTFE_R2_65,red,2024-11-07,589.63,589.61,1,20,65,0.307692308,152.1084372,46.80259607,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R1_65,red,2024-11-07,304.63,304.61,1,20,65,0.307692308,93.48506957,28.76463679,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R2_66,red,2024-11-07,406.81,406.79,1,20,66,0.303030303,114.5030896,34.69790594,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R3_61,red,2024-11-07,349.82,349.8,1,20,61,0.327868852,102.780473,33.69851575,0.994787969,36.08030534,120.2676845
20240924_L303_PARTFE_R1_65,red,2024-11-07,586.94,586.92,1,20,65,0.307692308,151.5551149,46.63234305,0.994787969,36.08030534,120.2676845
20240924_L303_PARTFE_R2_65,red,2024-11-07,498.13,498.11,1,20,65,0.307692308,133.2872508,41.01146178,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R1_100,red,2024-11-07,2317.85,2317.83,1,20,100,0.2,507.5964248,101.519285,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R2_100,red,2024-11-07,2140.27,2140.25,1,20,100,0.2,471.0689243,94.21378487,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R3_65,red,2024-11-07,1358.81,1358.79,1,20,65,0.307692308,310.3257072,95.48483298,0.994787969,36.08030534,120.2676845
20240924_L304_PARTFE_R1_100,red,2024-11-07,4549.6,4549.58,1,20,100,0.2,966.6585328,193.3317066,0.994787969,36.08030534,120.2676845
20240924_L304_PARTFE_R2_79,red,2024-11-07,3071.06,3071.04,1,20,79,0.253164557,662.5287292,167.7287922,0.994787969,36.08030534,120.2676845
20240922_L239_INTFE_R1_150,red,2024-11-07,609.96,609.94,1,20,150,0.133333333,156.2902375,20.83869833,0.994787969,36.08030534,120.2676845
20240922_L239_INTFE_R2_200,red,2024-11-07,200.24,200.22,1,20,200,0.1,72.01246133,7.201246133,0.994787969,36.08030534,120.2676845
20240922_L239_INTFE_R3_200,red,2024-11-07,450.51,450.49,1,20,200,0.1,123.492006,12.3492006,0.994787969,36.08030534,120.2676845
20240922_L239_PARTFE_R1_150,red,2024-11-07,434.58,434.56,1,20,150,0.133333333,120.2152683,16.02870244,0.994787969,36.08030534,120.2676845
20240922_L239_PARTFE_R2_200,red,2024-11-07,1647.94,1647.92,1,20,200,0.1,369.7985994,36.97985994,0.994787969,36.08030534,120.2676845
20240911_L227_INTFE_R1_81,red,2024-11-07,727.23,727.21,1,20,81,0.24691358,180.4122105,44.54622482,0.994787969,36.08030534,120.2676845
20240911_L227_INTFE_R2_80,red,2024-11-07,993.29,993.27,1,20,80,0.25,235.1396954,58.78492386,0.994787969,36.08030534,120.2676845
20240911_L227_INTFE_R3_100,red,2024-11-07,888.89,888.87,1,20,100,0.2,213.6650302,42.73300605,0.994787969,36.08030534,120.2676845
20240911_L227_PARTFE_R1_80,red,2024-11-07,747.58,747.56,1,20,80,0.25,184.5981247,46.14953117,0.994787969,36.08030534,120.2676845
20240911_L227_PARTFE_R2_80,orange,2024-11-07,819.42,846.47,1,20,80,0.25,217.9886577,54.49716443,0.99684523,28.04154507,93.47181691
20240910_L114_INTFE_R1_70,orange,2024-11-07,334.1,361.15,1,20,70,0.285714286,110.556468,31.58756228,0.99684523,28.04154507,93.47181691
20240910_L114_INTFE_R2_59,orange,2024-11-07,138.44,165.49,1,20,59,0.338983051,67.24446303,22.79473323,0.99684523,28.04154507,93.47181691
20240910_L114_INTFE_R3_61,orange,2024-11-07,164.34,191.39,1,20,61,0.327868852,72.97778066,23.9271412,0.99684523,28.04154507,93.47181691
20240910_L114_PARTFE_R1_100,orange,2024-11-07,714.04,741.09,1,20,100,0.2,194.6613599,38.93227199,0.99684523,28.04154507,93.47181691
20240910_L114_PARTFE_R2_80,orange,2024-11-07,224.06,251.11,1,20,80,0.25,86.19761576,21.54940394,0.99684523,28.04154507,93.47181691
20240910_L303_INTFE_R1_70,orange,2024-11-07,341.07,368.12,1,20,70,0.285714286,112.0993724,32.02839211,0.99684523,28.04154507,93.47181691
20240910_L303_INTFE_R2_65,orange,2024-11-07,364.58,391.63,1,20,65,0.307692308,117.303631,36.09342491,0.99684523,28.04154507,93.47181691
20240910_L303_INTFE_R3_75,orange,2024-11-07,300.55,327.6,1,20,75,0.266666667,103.1297187,27.50125832,0.99684523,28.04154507,93.47181691
20240910_L303_PARTFE_R1_51,orange,2024-11-07,332.99,360.04,1,20,51,0.392156863,110.3107544,43.25911936,0.99684523,28.04154507,93.47181691
20240910_L303_PARTFE_R2_75,orange,2024-11-07,623.37,650.42,1,20,75,0.266666667,174.590321,46.55741892,0.99684523,28.04154507,93.47181691
20240910_L304_INTFE_R1_51,orange,2024-11-07,1749.81,1776.86,1,20,51,0.392156863,423.9431517,166.2522163,0.99684523,28.04154507,93.47181691
20240910_L304_INTFE_R2_76,orange,2024-11-07,2882.68,2909.73,1,20,76,0.263157895,674.7193505,177.5577238,0.99684523,28.04154507,93.47181691
20240910_L304_INTFE_R3_61,orange,2024-11-07,1757.49,1784.54,1,20,61,0.327868852,425.6432242,139.5551555,0.99684523,28.04154507,93.47181691
20240910_L304_PARTFE_R1_100,orange,2024-11-07,5549.84,5576.89,1,20,100,0.2,1265.13153,253.0263061,0.99684523,28.04154507,93.47181691
20240910_L304_PARTFE_R2_76,orange,2024-11-07,4131.1,4158.15,1,20,76,0.263157895,951.074115,250.2826618,0.99684523,28.04154507,93.47181691
20240909_L239_INTFE_R1_151,orange,2024-11-07,271.62,298.67,1,20,151,0.132450331,96.7256693,12.81134693,0.99684523,28.04154507,93.47181691
20240909_L239_INTFE_R2_150,orange,2024-11-07,474.75,501.8,1,20,150,0.133333333,141.6912605,18.89216806,0.99684523,28.04154507,93.47181691
20240909_L239_INTFE_R3_151,orange,2024-11-07,258.04,285.09,1,20,151,0.132450331,93.71955141,12.41318562,0.99684523,28.04154507,93.47181691
20240909_L239_PARTFE_R1_150,orange,2024-11-07,527.69,554.74,1,20,150,0.133333333,153.4102502,20.45470003,0.99684523,28.04154507,93.47181691
20240909_L239_PARTFE_R2_150,orange,2024-11-07,587.05,614.1,1,20,150,0.133333333,166.5503944,22.20671926,0.99684523,28.04154507,93.47181691
20240909_L239_PARTFE_R3_98,orange,2024-11-07,258.13,285.18,1,20,98,0.204081633,93.73947413,19.13050492,0.99684523,28.04154507,93.47181691
20240828_L227_INTFE_R1_100,orange,2024-11-07,644.1,671.15,1,20,100,0.2,179.1791887,35.83583774,0.99684523,28.04154507,93.47181691
20240828_L227_INTFE_R2_100,orange,2024-11-07,597.43,624.48,1,20,100,0.2,168.8481488,33.76962976,0.99684523,28.04154507,93.47181691
20240828_L227_INTFE_R3_100,orange,2024-11-07,604.17,631.22,1,20,100,0.2,170.3401395,34.06802791,0.99684523,28.04154507,93.47181691
20240828_L227_PARTFE_R1_100,orange,2024-11-07,1180.53,1207.58,1,20,100,0.2,297.9252728,59.58505456,0.99684523,28.04154507,93.47181691
20240828_L227_PARTFE_R2_100,orange,2024-11-07,1070.52,1097.57,1,20,100,0.2,273.5730615,54.7146123,0.99684523,28.04154507,93.47181691
20240827_L114_INTFE_R1_100,orange,2024-11-07,504.42,531.47,1,20,100,0.2,148.2591189,29.65182378,0.99684523,28.04154507,93.47181691
20240827_L114_INTFE_R2_100,orange,2024-11-07,483.89,510.94,1,20,100,0.2,143.7145239,28.74290478,0.99684523,28.04154507,93.47181691
20240827_L114_INTFE_R3_100,orange,2024-11-07,357.89,384.94,1,20,100,0.2,115.8227084,23.16454168,0.99684523,28.04154507,93.47181691
20240827_L114_PARTFE_R1_101,yellow,2024-11-07,820.97,859.75,1,20,101,0.198019802,224.2798119,44.41184395,0.995896951,31.99470804,106.6490268
20240827_L114_PARTFE_R2_96,yellow,2024-11-07,788.02,826.8,1,20,96,0.208333333,216.9775501,45.20365627,0.995896951,31.99470804,106.6490268
20240827_L303_INTFE_R1_75,yellow,2024-11-07,377.74,416.52,1,20,75,0.266666667,126.0527555,33.61406814,0.995896951,31.99470804,106.6490268
20240827_L303_INTFE_R2_75,yellow,2024-11-07,438.31,477.09,1,20,75,0.266666667,139.4760635,37.19361694,0.995896951,31.99470804,106.6490268
20240827_L303_INTFE_R3_50,yellow,2024-11-07,206.05,244.83,1,20,50,0.4,88.00342827,35.20137131,0.995896951,31.99470804,106.6490268
20240827_L303_PARTFE_R1_75,yellow,2024-11-07,730.95,769.73,1,20,75,0.266666667,204.3298996,54.48797324,0.995896951,31.99470804,106.6490268
20240827_L303_PARTFE_R2_75,yellow,2024-11-07,723.29,762.07,1,20,75,0.266666667,202.6323177,54.03528472,0.995896951,31.99470804,106.6490268
20240827_L304_INTFE_R1_75,yellow,2024-11-07,2766.09,2804.87,1,20,75,0.266666667,655.3503892,174.7601038,0.995896951,31.99470804,106.6490268
20240827_L304_INTFE_R2_75,yellow,2024-11-07,2337.55,2376.33,1,20,75,0.266666667,560.3788783,149.4343676,0.995896951,31.99470804,106.6490268
20240827_L304_INTFE_R3_59,yellow,2024-11-07,2112.97,2151.75,1,20,59,0.338983051,510.6082574,173.0875449,0.995896951,31.99470804,106.6490268
20240827_L304_PARTFE_R1_75,yellow,2024-11-07,3901.52,3940.3,1,20,75,0.266666667,906.980348,241.8614261,0.995896951,31.99470804,106.6490268
20240827_L304_PARTFE_R2_75,yellow,2024-11-07,4194.21,4232.99,1,20,75,0.266666667,971.845265,259.1587373,0.995896951,31.99470804,106.6490268
20240826_L239_INTFE_R1_150,yellow,2024-11-07,378.24,417.02,1,20,150,0.133333333,126.1635637,16.8218085,0.995896951,31.99470804,106.6490268
20240826_L239_INTFE_R2_150,yellow,2024-11-07,295.27,334.05,1,20,150,0.133333333,107.7760474,14.37013965,0.995896951,31.99470804,106.6490268
20240826_L239_INTFE_R3_201,yellow,2024-11-07,379.01,417.79,1,20,201,0.099502488,126.3342084,12.570568,0.995896951,31.99470804,106.6490268
20240826_L239_PARTFE_R1_150,yellow,2024-11-07,418.1,456.88,1,20,150,0.133333333,134.9971952,17.99962603,0.995896951,31.99470804,106.6490268
20240826_L239_PARTFE_R2_150,yellow,2024-11-07,439.06,477.84,1,20,150,0.133333333,139.6422759,18.61897011,0.995896951,31.99470804,106.6490268
20240826_L239_PARTFE_R3_100,yellow,2024-11-07,246.78,285.56,1,20,100,0.2,97.02986603,19.40597321,0.995896951,31.99470804,106.6490268
20240703_L227_INTFE_R1_130,yellow,2024-11-07,1437.49,1476.27,1,20,130,0.153846154,360.9107819,55.52473567,0.995896951,31.99470804,106.6490268
20240703_L227_INTFE_R2_130,yellow,2024-11-07,1506.39,1545.17,1,20,130,0.153846154,376.1801549,57.87386998,0.995896951,31.99470804,106.6490268
20240703_L227_INTFE_R3_100,yellow,2024-11-07,1400.29,1439.07,1,20,100,0.2,352.6666502,70.53333004,0.995896951,31.99470804,106.6490268
20240703_L227_PARTFE_R1_150,yellow,2024-11-07,3913.1,3951.88,1,20,150,0.133333333,909.5466664,121.2728889,0.995896951,31.99470804,106.6490268
20240703_L227_PARTFE_R2_150,yellow,2024-11-07,3981.61,4020.39,1,20,150,0.133333333,924.729609,123.2972812,0.995896951,31.99470804,106.6490268
20240716_L114_INTFE_R1_150,yellow,2024-11-07,909.49,948.27,1,20,150,0.133333333,243.8972995,32.51963994,0.995896951,31.99470804,106.6490268
20240716_L114_INTFE_R2_150,yellow,2024-11-07,888.35,927.13,1,20,150,0.133333333,239.2123279,31.89497705,0.995896951,31.99470804,106.6490268
20240716_L114_INTFE_R3_100,yellow,2024-11-07,718.41,757.19,1,20,100,0.2,201.5508294,40.31016589,0.995896951,31.99470804,106.6490268
20240716_L114_PARTFE_R1_150,yellow,2024-11-07,2355.63,2394.41,1,20,150,0.133333333,564.3857036,75.25142715,0.995896951,31.99470804,106.6490268
20240716_L114_PARTFE_R2_150,yellow,2024-11-07,1830.65,1869.43,1,20,150,0.133333333,448.041503,59.73886706,0.995896951,31.99470804,106.6490268
20240716_L303_INTFE_R1_100,yellow,2024-11-07,722.58,761.36,1,20,100,0.2,202.47497,40.494994,0.995896951,31.99470804,106.6490268
20240716_L303_INTFE_R2_100,yellow,2024-11-07,711.35,750.13,1,20,100,0.2,199.9862173,39.99724347,0.995896951,31.99470804,106.6490268
20240716_L303_INTFE_R3_100,green,2024-11-07,722.46,743.29,1,20,100,0.2,201.9107431,40.38214862,0.995354902,34.05182867,113.5060956
20240716_L303_PARTFE_R1_100,green,2024-11-07,907.95,928.78,1,20,100,0.2,241.8521018,48.37042037,0.995354902,34.05182867,113.5060956
20240716_L303_PARTFE_R2_100,green,2024-11-07,967.31,988.14,1,20,100,0.2,254.6340257,50.92680514,0.995354902,34.05182867,113.5060956
20240716_L304_INTFE_R1_100,green,2024-11-07,1212.16,1232.99,1,20,100,0.2,307.3573083,61.47146166,0.995354902,34.05182867,113.5060956
20240716_L304_INTFE_R2_100,green,2024-11-07,1145.58,1166.41,1,20,100,0.2,293.0207097,58.60414195,0.995354902,34.05182867,113.5060956
20240716_L304_INTFE_R3_100,green,2024-11-07,886.5,907.33,1,20,100,0.2,237.2332968,47.44665936,0.995354902,34.05182867,113.5060956
20240716_L304_PARTFE_R1_100,green,2024-11-07,1843.86,1864.69,1,20,100,0.2,443.3805781,88.67611562,0.995354902,34.05182867,113.5060956
20240716_L304_PARTFE_R2_100,green,2024-11-07,1855.45,1876.28,1,20,100,0.2,445.8762401,89.17524802,0.995354902,34.05182867,113.5060956
20240702_L239_INTFE_R1_200,green,2024-11-07,454.88,475.71,1,20,200,0.1,144.2930345,14.42930345,0.995354902,34.05182867,113.5060956
20240702_L239_INTFE_R2_100,green,2024-11-07,108.2,129.03,1,20,100,0.2,69.6428094,13.92856188,0.995354902,34.05182867,113.5060956
20240702_L239_INTFE_R3_100,green,2024-11-07,121.38,142.21,1,20,100,0.2,72.48084438,14.49616888,0.995354902,34.05182867,113.5060956
20240702_L239_PARTFE_R1_200,green,2024-11-07,1072.06,1092.89,1,20,200,0.1,277.1897286,27.71897286,0.995354902,34.05182867,113.5060956
20240702_L239_PARTFE_R2_200,green,2024-11-07,1018.65,1039.48,1,20,200,0.1,265.6890117,26.56890117,0.995354902,34.05182867,113.5060956
20240814_L227_INTFE_R1_NA,green,2024-11-07,543.69,564.52,1,20,100,0.2,163.4163946,32.68327892,0.995354902,34.05182867,113.5060956
20240814_L227_INTFE_R2_NA,green,2024-11-07,722.87,743.7,1,20,100,0.2,201.999028,40.39980559,0.995354902,34.05182867,113.5060956
20240814_L227_INTFE_R3_100,green,2024-11-07,1162.32,1183.15,1,20,100,0.2,296.6253156,59.32506312,0.995354902,34.05182867,113.5060956
20240814_L227_PARTFE_R1_100,green,2024-11-07,1457.25,1478.08,1,20,100,0.2,360.1322698,72.02645396,0.995354902,34.05182867,113.5060956
20240814_L227_PARTFE_R2_100,green,2024-11-07,1544.51,1565.34,1,20,100,0.2,378.9218701,75.78437403,0.995354902,34.05182867,113.5060956
20240702_L114_INTFE_R1_100,green,2024-11-07,542.93,563.76,1,20,100,0.2,163.2527446,32.65054893,0.995354902,34.05182867,113.5060956
20240702_L114_INTFE_R2_100,green,2024-11-07,519.44,540.27,1,20,100,0.2,158.1946686,31.63893373,0.995354902,34.05182867,113.5060956
20240702_L114_INTFE_R3_100,green,2024-11-07,460.57,481.4,1,20,100,0.2,145.518256,29.10365119,0.995354902,34.05182867,113.5060956
20240702_L114_PARTFE_R1_100,green,2024-11-07,1044.14,1064.97,1,20,100,0.2,271.1777455,54.23554911,0.995354902,34.05182867,113.5060956
20240702_L114_PARTFE_R2_100,green,2024-11-07,1063.03,1083.86,1,20,100,0.2,275.2453086,55.04906171,0.995354902,34.05182867,113.5060956
20240702_L303_INTFE_R1_100,green,2024-11-07,656.79,677.62,1,20,100,0.2,187.7700939,37.55401877,0.995354902,34.05182867,113.5060956
20240702_L303_INTFE_R2_100,green,2024-11-07,1704.12,1724.95,1,20,100,0.2,413.2905168,82.65810336,0.995354902,34.05182867,113.5060956
20240702_L303_INTFE_R3_100,green,2024-11-07,1655.96,1676.79,1,20,100,0.2,402.9202767,80.58405534,0.995354902,34.05182867,113.5060956
20240702_L303_PARTFE_R1_100,green,2024-11-07,1627.26,1648.09,1,20,100,0.2,396.7403371,79.34806742,0.995354902,34.05182867,113.5060956
20240702_L303_PARTFE_R2_100,green,2024-11-07,1900.97,1921.8,1,20,100,0.2,455.6780119,91.13560238,0.995354902,34.05182867,113.5060956
20240813_L304_INTFE_R1_91,green,2024-11-07,1329.29,1350.12,1,20,91,0.21978022,332.578783,73.09423803,0.995354902,34.05182867,113.5060956
20240813_L304_INTFE_R2_84,green,2024-11-07,1386.22,1407.05,1,20,84,0.238095238,344.8374576,82.10415658,0.995354902,34.05182867,113.5060956
20240813_L304_INTFE_R3_70,blue,2024-11-07,700.36,701.66,1,20,70,0.285714286,198.2126344,56.63218125,0.996032201,31.46082736,104.8694245
20240813_L304_PARTFE_R1_61,blue,2024-11-07,3128.5,3129.8,1,20,61,0.327868852,734.3670864,240.7760939,0.996032201,31.46082736,104.8694245
20240813_L304_PARTFE_R2_75,blue,2024-11-07,2537.59,2538.89,1,20,75,0.266666667,603.8890138,161.0370703,0.996032201,31.46082736,104.8694245
20240812_L239_INTFE_R1_150,blue,2024-11-07,738.47,739.77,1,20,150,0.133333333,206.6276542,27.55035389,0.996032201,31.46082736,104.8694245
20240812_L239_INTFE_R2_150,blue,2024-11-07,363.61,364.91,1,20,150,0.133333333,123.8553025,16.51404034,0.996032201,31.46082736,104.8694245
20240812_L239_INTFE_R3_150,blue,2024-11-07,224.47,225.77,1,20,150,0.133333333,93.13197914,12.41759722,0.996032201,31.46082736,104.8694245
20240812_L239_PARTFE_R1_150,blue,2024-11-07,595.93,597.23,1,20,150,0.133333333,175.1535812,23.35381082,0.996032201,31.46082736,104.8694245
20240812_L239_PARTFE_R2_150,blue,2024-11-07,648.1,649.4,1,20,150,0.133333333,186.6731714,24.88975618,0.996032201,31.46082736,104.8694245
20240812_L239_PARTFE_R3_200,blue,2024-11-07,1121.59,1122.89,1,20,200,0.1,291.2238857,29.12238857,0.996032201,31.46082736,104.8694245
20240717_L227_INTFE_R1_100,blue,2024-11-07,1227.24,1228.54,1,20,100,0.2,314.5523255,62.9104651,0.996032201,31.46082736,104.8694245
20240717_L227_INTFE_R2_100,blue,2024-11-07,1184.83,1186.13,1,20,100,0.2,305.1878283,61.03756566,0.996032201,31.46082736,104.8694245
20240717_L227_INTFE_R3_100,blue,2024-11-07,1129.79,1131.09,1,20,100,0.2,293.0345171,58.60690342,0.996032201,31.46082736,104.8694245
20240717_L227_PARTFE_R1_130,blue,2024-11-07,3273.65,3274.95,1,20,130,0.153846154,766.4174701,117.91038,0.996032201,31.46082736,104.8694245
20240717_L227_PARTFE_R2_100,blue,2024-11-07,2688.09,2689.39,1,20,100,0.2,637.1207241,127.4241448,0.996032201,31.46082736,104.8694245
20240717_L227_PARTFE_R3_100,blue,2024-11-07,1379.51,1380.81,1,20,100,0.2,348.1748672,69.63497344,0.996032201,31.46082736,104.8694245
20240730_L114_INTFE_R1_100,blue,2024-11-07,638.48,639.78,1,20,100,0.2,184.5489916,36.90979832,0.996032201,31.46082736,104.8694245
20240730_L114_INTFE_R2_100,blue,2024-11-07,568.92,570.22,1,20,100,0.2,169.189538,33.8379076,0.996032201,31.46082736,104.8694245
20240730_L114_INTFE_R3_95,blue,2024-11-07,844.75,846.05,1,20,95,0.210526316,230.0952035,48.44109547,0.996032201,31.46082736,104.8694245
20240730_L114_PARTFE_R1_100,blue,2024-11-07,1075.16,1076.46,1,20,100,0.2,280.9717375,56.19434749,0.996032201,31.46082736,104.8694245
20240730_L114_PARTFE_R2_100,blue,2024-11-07,955.22,956.52,1,20,100,0.2,254.4879412,50.89758825,0.996032201,31.46082736,104.8694245
20240730_L303_INTFE_R1_200,blue,2024-11-07,2548.59,2549.89,1,20,200,0.1,606.3179095,60.63179095,0.996032201,31.46082736,104.8694245
20240730_L303_INTFE_R2_100,blue,2024-11-07,1579,1580.3,1,20,100,0.2,392.223996,78.44479921,0.996032201,31.46082736,104.8694245
20240730_L303_INTFE_R3_150,blue,2024-11-07,1757.33,1758.63,1,20,150,0.133333333,431.6008126,57.54677502,0.996032201,31.46082736,104.8694245
20240730_L303_PARTFE_R1_100,blue,2024-11-07,1535.03,1536.33,1,20,100,0.2,382.5150372,76.50300744,0.996032201,31.46082736,104.8694245
20240730_L303_PARTFE_R2_100,blue,2024-11-07,1332.19,1333.49,1,20,100,0.2,337.7261992,67.54523985,0.996032201,31.46082736,104.8694245
20240730_L304_INTFE_R1_150,blue,2024-11-07,1566.26,1567.56,1,20,150,0.133333333,389.4108931,51.92145241,0.996032201,31.46082736,104.8694245
20240730_L304_INTFE_R2_150,blue,2024-11-07,1713.68,1714.98,1,20,150,0.133333333,421.9625126,56.26166835,0.996032201,31.46082736,104.8694245
20240730_L304_INTFE_R3_150,blue,2024-11-07,836.25,837.55,1,20,150,0.133333333,228.2183295,30.42911059,0.996032201,31.46082736,104.8694245
20240730_L304_PARTFE_R1_170,blue,2024-11-07,2392.66,2393.96,1,20,170,0.117647059,571.887208,67.280848,0.996032201,31.46082736,104.8694245
20240730_L304_PARTFE_R2_100,blue,2024-11-07,1747.15,1748.45,1,20,100,0.2,429.35298,85.870596,0.996032201,31.46082736,104.8694245
20240715_L239_INTFE_R1_150,purple,2024-11-07,386.63,423.49,1,20,150,0.133333333,160.4494153,21.39325538,0.994457583,37.2124646,124.0415487
20240715_L239_INTFE_R2_150,purple,2024-11-07,141.66,178.52,1,20,150,0.133333333,98.75607429,13.16747657,0.994457583,37.2124646,124.0415487
20240715_L239_INTFE_R3_150,purple,2024-11-07,115.085,151.945,1,20,150,0.133333333,92.06341585,12.27512211,0.994457583,37.2124646,124.0415487
20240715_L239_PARTFE_R1_150,purple,2024-11-07,394.15,431.01,1,20,150,0.133333333,162.3432551,21.64576735,0.994457583,37.2124646,124.0415487
20240715_L239_PARTFE_R2_150,purple,2024-11-07,473.45,510.31,1,20,150,0.133333333,182.3141983,24.30855977,0.994457583,37.2124646,124.0415487
20240715_L239_PARTFE_R3_150,purple,2024-11-07,298.25,335.11,1,20,150,0.133333333,138.1917614,18.42556819,0.994457583,37.2124646,124.0415487
20240731_L227_INTFE_R1_150,purple,2024-11-07,733.26,770.12,1,20,150,0.133333333,247.7448507,33.03264676,0.994457583,37.2124646,124.0415487
20240731_L227_INTFE_R2_150,purple,2024-11-07,1056.41,1093.27,1,20,150,0.133333333,329.1270737,43.88360983,0.994457583,37.2124646,124.0415487
20240731_L227_INTFE_R3_150,purple,2024-11-07,1317,1353.86,1,20,150,0.133333333,394.7541617,52.63388822,0.994457583,37.2124646,124.0415487
20240731_L227_PARTFE_R1_150,purple,2024-11-07,2190.5,2227.36,1,20,150,0.133333333,614.7367449,81.96489932,0.994457583,37.2124646,124.0415487
20240731_L227_PARTFE_R2_150,purple,2024-11-07,1857.37,1894.23,1,20,150,0.133333333,530.8411548,70.77882064,0.994457583,37.2124646,124.0415487
20240813_L114_INTFE_R1_100,purple,2024-11-07,187.14,224,1,20,100,0.2,110.2097754,22.04195507,0.994457583,37.2124646,124.0415487
20240813_L114_INTFE_R2_100,purple,2024-11-07,126.96,163.82,1,20,100,0.2,95.05402051,19.0108041,0.994457583,37.2124646,124.0415487
20240813_L114_INTFE_R3_100,purple,2024-11-07,75.44,112.3,1,20,100,0.2,82.07920347,16.41584069,0.994457583,37.2124646,124.0415487
20240813_L114_PARTFE_R1_47,purple,2024-11-07,601.62,638.48,1,20,47,0.425531915,214.5925814,91.31599209,0.994457583,37.2124646,124.0415487
20240813_L114_PARTFE_R2_100,purple,2024-11-07,808.3,845.16,1,20,100,0.2,266.6429538,53.32859076,0.994457583,37.2124646,124.0415487
20240813_L303_INTFE_R1_100,purple,2024-11-07,575.99,612.85,1,20,100,0.2,208.1379121,41.62758243,0.994457583,37.2124646,124.0415487
20240813_L303_INTFE_R2_100,purple,2024-11-07,490.56,527.42,1,20,100,0.2,186.6231874,37.32463747,0.994457583,37.2124646,124.0415487
20240813_L303_INTFE_R3_59,purple,2024-11-07,183.92,220.78,1,20,59,0.338983051,109.3988493,37.08435569,0.994457583,37.2124646,124.0415487
20240813_L303_PARTFE_R1_100,purple,2024-11-07,949.14,986,1,20,100,0.2,302.1121548,60.42243095,0.994457583,37.2124646,124.0415487
20240813_L303_PARTFE_R2_100,purple,2024-11-07,888.39,925.25,1,20,100,0.2,286.8128509,57.36257018,0.994457583,37.2124646,124.0415487
20240729_L239_INTFE_R1_100,purple,2024-11-07,-30.44,6.42,1,20,100,0.2,55.41434267,11.08286853,0.994457583,37.2124646,124.0415487
20240729_L239_INTFE_R2_100,purple,2024-11-07,9.65,46.51,1,20,100,0.2,65.51062402,13.1021248,0.994457583,37.2124646,124.0415487
20240729_L239_PARTFE_R1_150,purple,2024-11-07,137.72,174.58,1,20,150,0.133333333,97.76382314,13.03517642,0.994457583,37.2124646,124.0415487
20240729_L239_PARTFE_R2_150,purple,2024-11-07,133.53,170.39,1,20,150,0.133333333,96.70861189,12.89448159,0.994457583,37.2124646,124.0415487
20240814_L227_PARTFE_R2_150,purple,2024-11-07,438.45,475.31,1,20,150,0.133333333,173.4997845,23.1333046,0.994457583,37.2124646,124.0415487
