SampleNumber,Site,Start Depth (m),End Depth (m),CollectDate,Test,Param,Result,Results_Units,RepLimit,Instrument,Results_Method,AnalysisEmployee,AnalysisTime,Comments
2024010803-01,114 LA CB 1m,,,1/8/2024,Anions,Cl,0.25,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/15/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Anions,SO4,1.3,mg/L,0.06,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/15/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Archive,Archive,,,,,ELA-Archive,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Chla,Chla,7.03,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,DIC,DIC,199,엸ol/L,3.04,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,pbulloch,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,NH3,NH3-N,54,엲/L,4,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,NO2,NO2-N,0.4,엲/L,0.2,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,NO3,NO3-N,11,엲/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part P,Part P,10,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,cleclerc,7/25/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,pH,pH,5.99,SU,,Fisher Scientific Accumet pH meter,ELA-pH,pbulloch,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,SRSi,SRSi,0.459,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,7/11/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,TDN,TDN,376,엲/L,12,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,1/9/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,TDP,TDP,2.1,엲/L,0.4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,1/9/2024 2:00:00 AM,
2024010803-03,114 LA CB PE,,,1/8/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Single barrel,,,
2024010803-04,114 LA CB PE,,,1/8/2024,Zooplankton archive,13C,,,,53-엸 Zoonet,ELA-Single barrel,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Alk,Alk,85.6,엔q/L,,MANTECH MT-100,ELA-MT100,pbulloch,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Anions,Cl,0.27,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/23/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Anions,SO4,1.37,mg/L,0.07,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/23/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Archive,Archive,,,,,ELA-Archive,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Chla,Chla,3.52,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,cleclerc,8/22/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,DIC,DIC,294,엸ol/L,2.91,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,pbulloch,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,NH3,NH3-N,59,엲/L,4,AutoAnalyzer 3,ELA-NOxNH3,bcooney,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,NO2,NO2-N,0.3,엲/L,0.2,AutoAnalyzer 3,ELA-NOxNH3,bcooney,3/21/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,NO3,NO3-N,11,엲/L,0.5,AutoAnalyzer 3,ELA-NOxNH3,bcooney,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Part P,Part P,8,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/1/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,pH,pH,5.94,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,pbulloch,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,SRSi,SRSi,0.493,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,klama,7/25/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,TDN,TDN,422,엲/L,11,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,TDP,TDP,1.5,엲/L,0.2,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,3/20/2024 2:00:00 AM,
2024032003-03,114 LA CB PE,,,3/20/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Single barrel,,,
2024032003-04,114 LA CB PE,,,3/20/2024,Zooplankton archive,13C,,,,53-엸 Zoonet,ELA-Single barrel,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Alk,Alk,73.08,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,5/7/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Anions,Cl,0.22,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/23/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Anions,SO4,1.01,mg/L,0.07,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/23/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Archive,Archive,,,,,ELA-Archive,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Chla,Chla,1.27,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,cleclerc,8/22/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,DIC,DIC,72,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,5/7/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,NH3,NH3-N,3,엲/L,6.6,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,NO2,NO2-N,0.2,엲/L,0.35,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,NO3,NO3-N,1,엲/L,0.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Part P,Part P,5,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/1/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,pH,pH,6.53,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,5/7/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,SRSi,SRSi,0.455,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,8/1/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,TDN,TDN,299,엲/L,10.2,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/13/2024 2:00:00 AM,
2024050703-01,114 LA CB Epi,0,2.75,5/7/2024,TDP,TDP,2.8,엲/L,,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/13/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Alk,Alk,69.61,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,5/7/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Archive,Archive,,,,,ELA-Archive,,,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Chla,Chla,2.16,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,cleclerc,8/22/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,DIC,DIC,74,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,5/7/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,NH3,NH3-N,5,엲/L,6.6,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,NO2,NO2-N,0.3,엲/L,0.35,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,NO3,NO3-N,0,엲/L,0.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/8/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Part P,Part P,3,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/1/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,pH,pH,6.47,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,5/7/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,SRSi,SRSi,0.433,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,klama,8/8/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,TDN,TDN,281,엲/L,10.2,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/13/2024 2:00:00 AM,
2024050703-02,114 LA CB Meta,3.25,3.75,5/7/2024,TDP,TDP,1.9,엲/L,,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/13/2024 2:00:00 AM,
2024050703-03,114 LA CMP PE,,,5/7/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Zootube,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Alk,Alk,46.54,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,5/22/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Anions,Cl,0.21,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/30/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Anions,SO4,1.01,mg/L,0.06,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/30/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Archive,Archive,,,,,ELA-Archive,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Chla,Chla,1.9,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,gmollot,9/5/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,DIC,DIC,65,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,5/21/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,NH3,NH3-N,2,엲/L,3.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/22/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,NO2,NO2-N,0,엲/L,0.22,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/22/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,NO3,NO3-N,0,엲/L,0.5,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,5/22/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024052105-01,114 LA CB Epi,0,,5/21/2024,Part P,Part P,,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,pH,pH,6.35,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,5/21/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,SRSi,SRSi,0.449,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,gmollot,8/29/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,TDN,TDN,318,엲/L,8.1,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/27/2024 2:00:00 AM,
2024052105-01,114 LA CB Epi,0,3.5,5/21/2024,TDP,TDP,1,엲/L,8.1,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,5/27/2024 2:00:00 AM,
2024052105-03,114 LA CMP PE,,,5/21/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Zootube,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Alk,Alk,51.14,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,6/5/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Anions,Cl,0.3,mg/L,0.02,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/20/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Anions,SO4,0.99,mg/L,0.04,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/20/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Archive,Archive,,,,,ELA-Archive,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
