SampleNumber,Site,Start Depth (m),End Depth (m),CollectDate,Test,Param,Result,Results_Units,RepLimit,Instrument,Results_Method,AnalysisEmployee,AnalysisTime,Comments
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Chla,Chla,,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,DIC,DIC,57,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,6/5/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,NH3,NH3-N,1,엲/L,1.3,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,NO2,NO2-N,0.3,엲/L,0.3,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,NO3,NO3-N,0,엲/L,1.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Part P,Part P,9,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/22/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,pH,pH,6.21,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,6/5/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,SRSi,SRSi,0.652,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,ctaylor,10/10/2024 12:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,TDN,TDN,282,엲/L,29.6,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/10/2024 2:00:00 AM,
2024060505-01,114 LA CB Epi,0,1.5,6/5/2024,TDP,TDP,3.4,엲/L,0.4,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/10/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Alk,Alk,32.96,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,6/5/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Archive,Archive,,,,,ELA-Archive,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Chla,Chla,,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,DIC,DIC,72,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,6/5/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,NH3,NH3-N,5,엲/L,1.3,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,NO2,NO2-N,0.4,엲/L,0.3,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,NO3,NO3-N,1,엲/L,1.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/6/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Part P,Part P,10,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/22/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,pH,pH,5.87,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,6/5/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,SRSi,SRSi,0.814,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,ctaylor,10/10/2024 12:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,TDN,TDN,299,엲/L,29.6,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/10/2024 2:00:00 AM,
2024060505-02,114 LA CB Meta,2,4,6/5/2024,TDP,TDP,3,엲/L,0.4,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/10/2024 2:00:00 AM,
2024060505-03,114 LA CMP PE,,,6/5/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Zootube,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Alk,Alk,83.36,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,6/17/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Anions,Cl,0.18,mg/L,0.02,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/20/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Anions,SO4,1.01,mg/L,0.04,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/20/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Archive,Archive,,,,,ELA-Archive,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Chla,Chla,2.33,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,ctaylor,9/12/2024 12:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,DIC,DIC,45,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,6/17/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,NH3,NH3-N,1,엲/L,2.2,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/18/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,NO2,NO2-N,0,엲/L,0.6,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/18/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,NO3,NO3-N,0,엲/L,1.7,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,6/18/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Part P,Part P,10,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,klama,8/22/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,pH,pH,6.32,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,6/17/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,SRSi,SRSi,0.861,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,gmollot,10/16/2024 12:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,TDN,TDN,274,엲/L,12.3,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/24/2024 2:00:00 AM,
2024061706-01,114 LA CB Epi,0,4,6/17/2024,TDP,TDP,2.5,엲/L,0.7,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,6/24/2024 2:00:00 AM,
2024061706-03,114 LA CMP PE,,,6/17/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Zootube,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Alk,Alk,-475.45,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,7/2/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Anions,Cl,0.2,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/27/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Anions,SO4,1,mg/L,0.03,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/27/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Archive,Archive,,,,,ELA-Archive,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Chla,Chla,2.81,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,gmollot,9/27/2024 12:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,DIC,DIC,43,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,7/2/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,NH3,NH3-N,0,엲/L,1.9,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/3/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,NO2,NO2-N,0,엲/L,0.4,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/3/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,NO3,NO3-N,0,엲/L,0.9,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/3/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Part P,Part P,,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,pH,pH,5.96,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,7/2/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,SRSi,SRSi,0.687,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,ctaylor,10/21/2024 12:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,TDN,TDN,275,엲/L,8.3,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,7/8/2024 2:00:00 AM,
2024070205-01,114 LA CB Epi,0,1.5,7/2/2024,TDP,TDP,3.6,엲/L,0.3,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,7/8/2024 2:00:00 AM,
2024070205-03,114 LA CMP PE,,,7/2/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Zootube,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Alk,Alk,29.205,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Anions,Cl,0.18,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/27/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Anions,SO4,1,mg/L,0.03,Shimadzu HIC-ESP,ELA-ClSO4,shavens,8/27/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Archive,Archive,,,,,ELA-Archive,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Chla,Chla,3.23,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,gmollot,9/27/2024 12:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,DIC,DIC,47,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,NH3,NH3-N,0,엲/L,5.6,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,NO2,NO2-N,0,엲/L,0.4,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,NO3,NO3-N,0,엲/L,1,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Part P,Part P,,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,pH,pH,6.06,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,7/16/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,SRSi,SRSi,0.706,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,ctaylor,10/25/2024 12:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,TDN,TDN,282,엲/L,12.5,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,7/18/2024 2:00:00 AM,
2024071604-01,114 LA CB Epi,0,2.5,7/16/2024,TDP,TDP,0.9,엲/L,0.6,AutoAnalyzer 3,ELA-TDN/TDP,qmurdock,7/18/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Alk,Alk,46.96,엔q/L,,MANTECH MT-100,ELA-MT100,cleclerc,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Archive,Archive,,,,,ELA-Archive,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Chla,Chla,9.45,엲/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,gmollot,9/27/2024 12:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,DIC,DIC,146,엸ol/L,,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,cleclerc,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,DOC,DOC,,엸ol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,NH3,NH3-N,1,엲/L,5.6,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,NO2,NO2-N,0,엲/L,0.4,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,NO3,NO3-N,0,엲/L,1,AutoAnalyzer 3,ELA-NOxNH3,qmurdock,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Part C/N,Part C,,엲/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Part C/N,Part N,,엲/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Part P,Part P,,엲/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,,,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,pH,pH,5.71,SU,,Thermo Scientific Orion Star A211 pH Meter,ELA-pH,cleclerc,7/16/2024 2:00:00 AM,
2024071604-02,114 LA CB Meta,3,3.75,7/16/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
